日期,時間,溫度,濕度,風向,風速,陣風,能見度,海平面氣壓
07/03,01:50,26.7,80,南,1.3,1,84,1011.1
07/03,01:40,26.8,80,南,1.8,2,85,1011.2
07/03,01:30,26.8,80,南南西,1.5,1,84,1011.2
07/03,01:20,26.8,80,南,2.1,2,85,1011.2
07/03,01:10,26.9,80,南,2.3,2,85,1011.2
07/03,01:00,27.1,81,南,1.8,2,83,1011.3
07/03,00:50,27.1,81,南,1.5,1,84,1011.4
07/03,00:40,27.1,81,南,1.1,1,84,1011.5
07/03,00:30,27.2,81,南,1.9,2,84,1011.7
07/03,00:20,27.0,81,南,1.4,1,85,1011.7
07/03,00:10,27.2,81,南,1.5,1,84,1011.7
07/03,00:00,27.0,81,南,1.6,2,85,1011.8
07/02,23:50,27.0,81,南,1.5,1,86,1011.8
07/02,23:40,26.9,80,南南西,1.3,1,86,1011.8
07/02,23:30,27.2,81,西南西,1.4,1,86,1011.9
07/02,23:20,27.2,81,南南東,1.2,1,86,1012.0
07/02,23:10,27.4,81,東南,1.7,2,85,1012.0
07/02,23:00,27.2,81,東南,1.4,1,87,1012.0
07/02,22:50,27.5,82,東南,1.5,1,84,1012.1
07/02,22:40,27.3,81,南南東,1.0,1,85,1012.2
07/02,22:30,27.5,82,南南東,0.9,1,83,1012.3
07/02,22:20,27.6,82,南,1.8,2,84,1012.2
07/02,22:10,27.3,81,西南,1.3,1,85,1012.3
07/02,22:00,27.5,82,南南東,0.9,1,86,1012.3
07/02,21:50,27.6,82,東南,1.1,1,84,1012.3
07/02,21:40,27.6,82,南南東,1.8,2,83,1012.3
07/02,21:30,27.6,82,南,1.7,2,83,1012.2
07/02,21:20,27.7,82,南,2.1,2,83,1012.2
07/02,21:10,27.2,81,南,1.1,1,86,1012.0
07/02,21:00,27.3,81,南,1.3,1,87,1011.8
07/02,20:50,27.1,81,南,1.0,1,89,1011.6
07/02,20:40,27.3,81,南,0.8,1,88,1011.5
07/02,20:30,27.5,82,南南東,1.1,1,85,1011.3
07/02,20:20,27.6,82,東南,1.6,2,86,1011.2
07/02,20:10,27.4,81,東南,1.5,1,87,1011.0
07/02,20:00,-,-,－,-,-,-,-
07/02,19:40,27.6,82,南,2.2,2,85,1010.7
07/02,19:30,27.5,82,東南,1.5,1,85,1010.6
07/02,19:20,27.1,81,南南東,0.8,1,90,1010.6
07/02,19:10,27.2,81,東南,0.5,1,91,1010.4
07/02,19:00,27.3,81,東,0.7,1,87,1010.2
07/02,18:50,27.3,81,東南,0.8,1,86,1010.2
07/02,18:40,27.3,81,南南東,1.6,2,87,1010.2
07/02,18:30,27.4,81,南,1.5,1,86,1010.2
07/02,18:20,27.3,81,南南東,1.2,1,86,1010.1
07/02,18:10,27.2,81,南,1.5,1,85,1010.2
07/02,18:00,27.2,81,南,1.9,2,85,1010.1
07/02,17:50,27.2,81,南,2.2,2,84,1010.0
07/02,17:40,27.0,81,東南,1.4,1,85,1010.0
07/02,17:30,26.8,80,東南,1.0,1,86,1009.9
07/02,17:20,26.9,80,東南,0.5,1,87,1009.7
07/02,17:10,27.1,81,東南,1.7,2,85,1009.6
07/02,17:00,27.1,81,南南東,1.3,1,83,1009.5
07/02,16:50,27.1,81,南南東,1.1,1,85,1009.4
07/02,16:40,26.9,80,東南,1.3,1,83,1009.3
07/02,16:30,26.3,79,東北,0.7,1,88,1009.3
07/02,16:20,26.0,79,東南,0.9,1,91,1009.0
07/02,16:10,25.9,79,東南東,0.9,1,86,1008.8
07/02,16:00,25.6,78,南,1.3,1,90,1008.9
07/02,15:50,25.5,78,西南,1.2,1,89,1008.9
07/02,15:40,25.1,77,南南西,0.9,1,88,1009.1
07/02,15:30,25.0,77,南南東,1.4,1,92,1008.9
07/02,15:20,24.7,76,東南,1.6,2,91,1008.9
07/02,15:10,24.9,77,東南,3.4,3,90,1009.0
07/02,15:00,25.0,77,東南東,3.9,3,91,1009.4
07/02,14:50,25.3,78,東南,5.0,3,94,1009.9
07/02,14:40,25.9,79,東南東,3.9,3,89,1009.4
07/02,14:30,28.0,82,南,4.1,3,89,1009.4
07/02,14:20,30.7,87,西南,1.8,2,79,1008.2
07/02,14:10,31.8,89,北,2.7,2,76,1007.7
07/02,14:00,32.0,90,北北西,2.3,2,75,1007.6
07/02,13:50,32.2,90,北,4.0,3,75,1007.6
07/02,13:40,33.0,91,北北西,2.9,2,72,1007.4
07/02,13:30,33.3,92,北北西,2.4,2,71,1007.7
07/02,13:20,34.2,94,北,3.1,2,67,1007.6
07/02,13:10,34.3,94,北北西,1.8,2,66,1007.6
07/02,13:00,34.1,93,北,3.5,3,67,1007.7
07/02,12:50,34.6,94,北北西,2.0,2,64,1007.6
07/02,12:40,34.5,94,北北東,2.0,2,65,1007.6
07/02,12:30,34.8,95,東北,2.7,2,61,1007.6
07/02,12:20,34.9,95,東,1.9,2,60,1007.8
07/02,12:10,35.0,95,東,2.1,2,58,1008.0
07/02,12:00,34.7,94,東,2.5,2,58,1007.9
07/02,11:50,34.7,94,東,1.9,2,58,1007.9
07/02,11:40,34.6,94,東,2.7,2,57,1008.0
07/02,11:30,34.7,94,東南,2.5,2,58,1008.0
07/02,11:20,34.1,93,東南東,2.6,2,60,1008.0
07/02,11:10,34.8,95,東北,1.3,1,59,1008.1
07/02,11:00,34.0,93,東北東,1.5,1,62,1008.1
07/02,10:50,33.9,93,東,1.1,1,66,1008.3
07/02,10:40,33.7,93,東南東,1.5,1,66,1008.4
07/02,10:30,33.5,92,北北東,1.6,2,66,1008.4
07/02,10:20,32.8,91,東南,1.2,1,69,1008.4
07/02,10:10,32.9,91,東南,1.7,2,69,1008.5
07/02,10:00,32.9,91,東南東,1.6,2,70,1008.5
07/02,09:50,32.5,91,南南東,1.0,1,67,1008.4
07/02,09:40,32.5,91,南南東,1.0,1,69,1008.4
07/02,09:30,32.1,90,東南,1.1,1,72,1008.4
07/02,09:20,31.7,89,南南東,0.8,1,73,1008.4
07/02,09:10,31.7,89,南南東,1.3,1,71,1008.4
07/02,09:00,31.4,89,東南東,1.3,1,72,1008.4
07/02,08:50,31.2,88,南,0.9,1,73,1008.4
07/02,08:40,31.6,89,南南西,0.9,1,74,1008.5
07/02,08:30,31.2,88,南,0.9,1,78,1008.6
07/02,08:20,31.1,88,西南,0.8,1,75,1008.7
07/02,08:10,30.8,87,東南東,0.5,1,78,1008.6
07/02,08:00,30.3,87,南南西,0.9,1,79,1008.4
07/02,07:50,30.2,86,南南西,1.0,1,79,1008.4
07/02,07:40,29.6,85,南,0.9,1,84,1008.3
07/02,07:30,29.4,85,南南西,0.5,1,83,1008.2
07/02,07:20,29.3,85,南,0.5,1,83,1008.1
07/02,07:10,28.9,84,南南西,0.7,1,85,1008.1
07/02,07:00,28.6,83,南南西,0.7,1,87,1008.1
07/02,06:50,28.4,83,南,1.0,1,87,1007.8
07/02,06:40,28.3,83,南南西,1.3,1,88,1007.8
07/02,06:30,28.2,83,南南西,1.0,1,90,1007.7
07/02,06:20,28.1,83,南南東,0.9,1,88,1007.6
07/02,06:10,28.0,82,東南,1.1,1,88,1007.5
07/02,06:00,27.9,82,東南,1.4,1,87,1007.6
07/02,05:50,27.7,82,東南,1.4,1,89,1007.4
07/02,05:40,27.3,81,南南東,1.1,1,93,1007.4
07/02,05:30,27.1,81,南南東,0.8,1,93,1007.5
07/02,05:20,27.6,82,東南,0.9,1,88,1007.3
07/02,05:10,27.6,82,南,1.7,2,90,1007.2
07/02,05:00,27.6,82,南,1.6,2,90,1007.3
07/02,04:50,27.4,81,南,1.3,1,91,1007.2
07/02,04:40,27.3,81,南南西,0.9,1,92,1007.1
07/02,04:30,27.7,82,南,1.1,1,89,1006.8
07/02,04:20,27.5,82,南,1.3,1,91,1006.8
07/02,04:10,27.3,81,南,1.0,1,92,1006.7
07/02,04:00,27.2,81,南南東,1.0,1,92,1006.7
07/02,03:50,27.1,81,南,1.0,1,93,1006.7
07/02,03:40,27.3,81,南,0.9,1,93,1006.7
07/02,03:30,27.2,81,南,1.0,1,93,1006.6
07/02,03:20,27.2,81,南,0.8,1,92,1006.5
07/02,03:10,27.3,81,南南東,1.4,1,92,1006.6
07/02,03:00,27.6,82,南南東,1.1,1,92,1006.4
07/02,02:50,27.7,82,南,1.1,1,91,1006.6
07/02,02:40,27.9,82,南,1.5,1,93,1006.7
07/02,02:30,27.8,82,南南東,1.4,1,95,1006.7
07/02,02:20,27.6,82,南,0.9,1,96,1006.5
07/02,02:10,27.6,82,南南西,1.0,1,96,1006.7
07/02,02:00,27.7,82,西南,1.0,1,96,1006.6
07/02,01:50,27.6,82,西南,1.0,1,96,1006.6
07/02,01:40,27.6,82,西南,1.7,2,96,1006.6
07/02,01:30,27.5,82,南南西,1.1,1,96,1006.8
07/02,01:20,27.6,82,西南,1.2,1,95,1006.7
07/02,01:10,27.6,82,西南,1.3,1,94,1006.7
07/02,01:00,27.7,82,西南,1.6,2,94,1006.7
